iCount,propNum,MainCat,item_name,keyName,keyValue
1,3109,Lease File Audit,Date of Application,Status,NA
2,3109,Lease File Audit,Date of Application,Status,Yes
3,3109,Lease File Audit,Deposit Amount $,Amount,Amount
3,3109,Lease File Audit,Executed Mold Addendum in File,Status,Yes
3,3109,Lease File Audit,Felony Checkbox Reviewed,Status,NA
1,3109,Lease File Audit,Financially Qualifies,Status,NA
2,3109,Lease File Audit,Financially Qualifies,Status,Yes
1,3109,Lease File Audit,Guest Card in File,Status,NA
2,3109,Lease File Audit,Guest Card in File,Status,Yes
1,3109,Lease File Audit,Income Properly Stated on Credit Summary,Status,NA
2,3109,Lease File Audit,Income Properly Stated on Credit Summary,Status,Yes
3,3109,Lease File Audit,Intent to Vacate Executed by All Parties,Status,NA
3,3109,Lease File Audit,Lead Addendum in File - Where Applicable,Status,Yes
3,3109,Lease File Audit,Lease / Addendums Executed by all Parties,Status,Yes
3,3109,Lease File Audit,Ledger Balance,Amount,Amount
3,3109,Lease File Audit,Ledger Reviewed,Status,Yes
1,3109,Lease File Audit,Manager Approval is Reflected,Status,NA
2,3109,Lease File Audit,Manager Approval is Reflected,Status,Yes
3,3109,Lease File Audit,Move-In / Move-Out Checklist Signed - Mold Section,Status,Yes
3,3109,Lease File Audit,Move-In Date,Status,Yes
3,3109,Lease File Audit,On Notice Audit,Status,NA
3,3109,Lease File Audit,Pesticide Disclosure in File,Status,Yes
3,3109,Lease File Audit,"Pet / Service Animal Information Reviewed (type, d",Status,Yes
1,3109,Lease File Audit,Signed File Checklist,Status,NA
2,3109,Lease File Audit,Signed File Checklist,Status,Yes
3,3109,Lease File Audit,Unit #,Yes - No - NA,Yes
1,3109,Lease File Audit,Verification of all Income in File,Status,NA
2,3109,Lease File Audit,Verification of all Income in File,Status,Yes
3,3109,Lease File Audit,Verify Income Calculation,Amount,Amount
1,3109,Leasing Office / Administrative,Charge / Adjustment Review Report,Status,Yes
1,3109,Leasing Office / Administrative,Daily Activity Report,Status,Yes
1,3109,Leasing Office / Administrative,"Leasing office cleanliness, organization, refreshm",Status,Yes
1,3109,Leasing Office / Administrative,Market / Submarket Review Report,Status,Yes
1,3109,Leasing Office / Administrative,"Name Tags, Proper Attire, CREDO Meetings",Status,Yes
1,3109,Leasing Office / Administrative,Pre-paid / Delinquency Review Report,Status,Yes
1,3109,Leasing Office / Administrative,Previous Deficiencies Corrected?,Status,NA
1,3109,Leasing Office / Administrative,Reviewed Cares Calls for Completion,Status,Yes
1,3109,Leasing Office / Administrative,UAD / Red Book Updated,Status,Yes
412,3109,Living / Dining Room,Ceiling Fan / Light Fixture,Condition,Acceptable
7,3109,Living / Dining Room,Ceiling Fan / Light Fixture,Condition,NA
1,3109,Living / Dining Room,Ceiling Fan / Light Fixture,Condition,Repair
420,3109,Living / Dining Room,Living / Dining Room  - Moisture,Status,No
1,3109,Maintenance & Storage,Electrical Rooms / Elevators / Equipment Rooms / T,Status,NA
1,3109,Maintenance & Storage,First Aid Kits Stocked Adequately / Eye Wash Stati,Status,Yes
1,3109,Maintenance & Storage,Inspected All Maintenance Garage / Storage Closets,Status,Yes
1,3109,Maintenance & Storage,Maintenance Shop / Storage Shop(s),Status,Yes
1,3109,Maintenance & Storage,Review light inspection report,Status,Yes
1,3109,Maintenance & Storage,Shop Inventory Control,Status,Yes
1,3109,Maintenance & Storage,"Shop Organized, Parts Labeled, Hazardous Materials",Status,Yes
1,3109,Maintenance & Storage,Verified SDS on Hand from Chemical in Shop,Status,Yes
1,3109,Maintenance & Storage,Visual Inspection of the Golf Cart,Status,Yes
413,3109,Occupancy,Housekeeping,Status,No
7,3109,Occupancy,Housekeeping,Status,Yes
418,3109,Occupancy,Over Occupancy,Status,No
2,3109,Occupancy,Over Occupancy,Status,Yes
420,3109,Occupancy,Pest Control Needed,Status,No
289,3109,Occupancy,Pets in Unit,Status,No
131,3109,Occupancy,Pets in Unit,Status,Yes
420,3109,Occupancy,Unit Entry,Yes No,Yes
1,3109,Patio,BBQ Grill on Patio,BBQ Grill Type,Electric
152,3109,Patio,BBQ Grill on Patio,Status,NA
267,3109,Patio,BBQ Grill on Patio,Status,No
1,3109,Patio,BBQ Grill on Patio,Status,Yes
414,3109,Patio,Patio Capital,Condition,Acceptable
1,3109,Patio,Patio Capital,Condition,NA
3,3109,Patio,Patio Capital,Condition,Repair
127,3109,Patio,Patio Capital,Patio Capital Type,Concrete
1,3109,Patio,Patio Capital,Patio Capital Type,Deck
163,3109,Patio,Patio Capital,Patio Capital Type,Wood
414,3109,Patio,Satellite Dish - Is in patio compliance,Status,NA
6,3109,Patio,Satellite Dish - Is in patio compliance,Status,Yes
420,3109,Patio,Water Heater,Condition,NA
420,3109,Patio,Water Heater Accessible,Status,NA
420,3109,Patio,Water Heater Closet - Moisture,Status,NA
2,3109,Patio,Water Heater Closet Drywall,Condition,Acceptable
418,3109,Patio,Water Heater Closet Drywall,Condition,NA
420,3109,Patio,Water Heater Sticker Installed,Status,NA
420,3109,Patio,Water Heater Strap Installed,Status,NA
1,3109,Site & Unit Walk,Additional Amenities,Status,Yes
1,3109,Site & Unit Walk,Amenity - Clubhouse In Good Order,Status,Yes
1,3109,Site & Unit Walk,Amenity - Laundry Room In Good Order,Status,Yes
1,3109,Site & Unit Walk,Amenity - Pool In Good Order,Status,Yes
1,3109,Site & Unit Walk,Amenity ? Fitness Center In Good Order,Status,Yes
1,3109,Site & Unit Walk,Balcony Inspection,Status,Yes
1,3109,Site & Unit Walk,General Site Condition,Status,Yes
1,3109,Site & Unit Walk,Inspect Model Unit - In Good Condition,Yes - No - NA,Yes
1,3109,Site & Unit Walk,Inspect Unit Rent Ready - In Good Condition,Yes - No - NA,Yes
1,3109,Site & Unit Walk,Inspected Pool Log for Daily Recordings,Status,Yes
1,3109,Site & Unit Walk,Landscape Review,Status,Yes
1,3109,Site & Unit Walk,Longest Vacant Unit / Rent Ready Compliance,Yes - No - NA,NA
1,3109,Site & Unit Walk,Market Window,Status,Yes
1,3109,Site & Unit Walk,Red Curbs Condition,Status,Yes
1,3109,Verification of Manager Ackowledgement,Inspection Completed & Required Comment,Yes - No,Yes
